snp-dists 0.7.0	PG1	PG10	PG100	PG101	PG102	PG103	PG104	PG105	PG106	PG107	PG108	PG109	PG11	PG110	PG111	PG112	PG113	PG114	PG115	PG116	PG117	PG118	PG119	PG12	PG120	PG121	PG122	PG123	PG124	PG125	PG126	PG127	PG128	PG129	PG13	PG130	PG131	PG132	PG133	PG134	PG135	PG136	PG137	PG138	PG139	PG14	PG140	PG141	PG142	PG143	PG144	PG145	PG146	PG147	PG148	PG149	PG15	PG150	PG151	PG152	PG153	PG154	PG155	PG156	PG157	PG158	PG159	PG16	PG160	PG161	PG162	PG163	PG164	PG165	PG166	PG167	PG168	PG169	PG17	PG170	PG171	PG172	PG173	PG174	PG175	PG176	PG177	PG178	PG179	PG18	PG180	PG181	PG182	PG183	PG184	PG185	PG186	PG187	PG188	PG189	PG19	PG190	PG191	PG192	PG193	PG194	PG195	PG196	PG197	PG198	PG199	PG2	PG20	PG200	PG201	PG202	PG203	PG204	PG205	PG206	PG207	PG208	PG209	PG21	PG210	PG211	PG212	PG213	PG214	PG215	PG216	PG217	PG218	PG219	PG22	PG220	PG221	PG222	PG223	PG224	PG225	PG226	PG227	PG228	PG229	PG23	PG230	PG231	PG232	PG233	PG234	PG235	PG236	PG237	PG238	PG239	PG24	PG240	PG241	PG242	PG243	PG244	PG245	PG246	PG247	PG248	PG249	PG25	PG250	PG251	PG252	PG253	PG254	PG255	PG256	PG257	PG258	PG259	PG26	PG260	PG261	PG262	PG263	PG264	PG265	PG266	PG267	PG268	PG269	PG27	PG270	PG271	PG272	PG273	PG274	PG275	PG276	PG277	PG278	PG279	PG28	PG280	PG281	PG282	PG283	PG284	PG285	PG286	PG287	PG288	PG289	PG29	PG290	PG291	PG292	PG293	PG294	PG295	PG296	PG297	PG298	PG299	PG3	PG30	PG300	PG301	PG302	PG303	PG304	PG305	PG306	PG307	PG308	PG309	PG31	PG310	PG311	PG312	PG313	PG314	PG315	PG316	PG317	PG318	PG319	PG32	PG320	PG321	PG322	PG323	PG324	PG325	PG326	PG327	PG328	PG329	PG33	PG330	PG331	PG332	PG333	PG334	PG335	PG336	PG337	PG338	PG339	PG34	PG340	PG341	PG342	PG343	PG344	PG345	PG346	PG347	PG348	PG349	PG35	PG350	PG36	PG37	PG38	PG39	PG4	PG40	PG41	PG42	PG43	PG44	PG45	PG46	PG47	PG48	PG49	PG5	PG50	PG51	PG52	PG53	PG54	PG55	PG56	PG57	PG58	PG59	PG6	PG60	PG61	PG62	PG63	PG64	PG65	PG66	PG67	PG68	PG69	PG7	PG70	PG71	PG72	PG73	PG74	PG75	PG76	PG77	PG78	PG79	PG8	PG80	PG81	PG82	PG83	PG84	PG85	PG86	PG87	PG88	PG89	PG9	PG90	PG91	PG92	PG93	PG94	PG95	PG96	PG97	PG98	PG99	Reference
PG245	14392	15182	15405	14825	15211	15521	15234	15772	15398	14859	15766	14519	15440	15499	13956	15668	13919	14603	14457	14611	15465	14426	15668	15560	15626	14920	14370	15780	15418	14746	14495	15616	15191	15279	14539	13963	15589	15315	15508	14852	14886	14638	14540	14890	15320	14583	14426	14977	15610	15491	15368	14856	13956	15472	14800	14884	14115	15136	14906	14844	14541	15012	14533	15761	15753	15469	15250	14165	9615	15629	13975	14638	14835	13941	15277	15762	15227	14862	15433	14835	15637	15242	14300	14618	14590	14607	15383	15226	14795	15742	15297	15466	14531	15250	15256	14530	15416	14511	15630	14402	15420	15748	15479	15385	14986	14822	15332	15166	14027	13920	13942	14334	15600	13969	15407	15427	15304	14454	14523	14859	15569	14835	15016	14807	15758	14174	15401	15629	14150	15406	15406	14863	14423	14831	14845	15452	15099	14904	14858	14671	15397	15468	14864	15546	15548	14800	14902	14548	14565	15416	10958	13974	14449	13934	14185	13954	14869	15751	15314	14922	14838	14911	0	14988	14555	15500	14892	14350	14537	14500	13951	14913	14523	15387	222	14521	15320	14030	14489	15436	14614	15567	14516	14643	14616	15432	14866	15422	14838	14636	15746	15776	15449	14843	15560	14516	15011	14673	13987	15765	14664	14497	14794	15706	15376	15239	15369	14659	15404	14545	14218	14495	14906	15400	14530	14894	14838	14318	15540	14900	14863	15674	14559	14522	14183	15551	14881	15423	14332	14847	15124	14907	14360	14832	14242	14831	15643	15420	14923	14822	15558	15475	14859	14784	15034	14464	14522	15289	14811	14523	15526	14875	14475	14428	14504	14536	15512	15320	14510	14872	14531	14500	15502	14815	14517	15040	14584	14922	14804	15074	14535	15485	14931	14185	15500	14852	14473	15427	14169	14855	15509	14993	14865	15331	14899	15017	14507	14970	14418	14919	14861	14452	10974	14876	15278	15380	15487	14534	15497	14538	15045	14997	13963	15415	15049	15392	14304	13953	15408	14536	15236	14552	15331	14364	14526	15647	14850	13955	15231	14457	15447	14519	15837	15553	15004	14950	15471	15925	13918	15682	15325	13928	14215	15828	14861	15446	14498	14596	15393	15339	14851	15524	13962	15477	15314	14922	13954	14860	15297	15242	15775
PG246	14299	14715	15742	15833	15889	16020	14643	15534	15736	15869	15539	13522	15921	15986	14594	15699	14620	15557	14646	12079	15981	14270	15666	16239	15952	15887	14264	15551	14800	15745	14522	15690	14677	15117	14297	14616	16346	13647	14593	15874	15500	15566	14527	15531	13628	14310	14348	15735	15915	15611	15714	15819	14622	15322	15114	15937	14543	12437	14312	15888	14553	13239	14556	15468	15531	15341	14672	14549	15110	15707	14606	14685	15869	14594	14685	15527	14036	15867	15766	15876	15932	14759	14280	15533	15375	15572	15721	14999	12349	15511	14869	15329	15052	14662	14674	14620	15739	14521	15690	14265	15744	15519	14565	15750	15782	15850	13625	15458	14534	14489	14583	14182	15915	14613	15726	15752	13597	13484	14555	15482	15870	1643	13246	15838	15524	14852	15743	15669	14828	15716	15724	15497	14642	15832	15847	14542	15436	15521	15877	14834	15751	4187	15893	15214	16031	15452	15885	14554	14590	15773	15746	14618	14600	14587	14589	14568	15511	15539	13623	15751	15885	15497	14988	0	14625	14567	12073	14311	14516	13498	14583	15531	14533	11499	15022	14537	13611	14546	14472	15768	14988	16221	14520	15328	15549	15759	15543	15766	15847	14996	15513	15541	15788	15865	16053	14502	13263	14741	14642	15539	14976	14670	14765	15910	15742	14683	15705	15531	15738	14547	14630	14505	15534	15739	13511	15512	15879	14275	14992	15530	15884	15729	12670	14532	14601	15009	15509	15740	15000	15877	15018	15537	14304	15849	15043	15857	15657	15768	15521	15839	1761	15206	15888	14757	14632	14645	14520	15097	15818	13516	16043	15898	14654	14356	13505	14526	14587	15224	14533	15876	14536	14696	16032	15841	14523	14702	14540	15535	15837	14689	14520	16054	15577	14841	16240	15857	13468	14130	14827	14826	14956	14664	15872	13653	12796	13253	14519	15323	14250	15561	15882	14639	15788	15510	13575	15623	16024	14542	14562	14551	14051	14670	14638	15771	14628	14730	14982	14594	15756	14537	15622	14568	13643	14261	14523	15703	15483	14599	14676	14627	15745	14584	15846	16013	3396	4344	15702	15057	14580	15708	13643	15221	15043	15844	15479	15323	14495	14095	15736	14611	15451	16197	14589	16207	13633	14871	14599	15889	13601	14681	15543
PG247	14339	15095	13917	15153	14375	14957	15059	15174	13924	15176	15168	14036	14855	14956	13776	15353	13825	14463	556	14278	14970	14432	15744	14945	16009	15193	14312	15188	15207	15029	205	15420	14580	15216	14626	13810	14933	15600	15411	15167	13966	14484	187	13953	15581	14692	14417	14744	15982	15813	13901	15124	13809	15402	14840	14487	14026	14961	14565	15166	202	14682	201	15061	15163	15411	15085	14231	13227	15343	13789	15070	15156	13768	14805	15170	15182	15168	15222	15157	16001	15135	14200	14413	15388	14480	13907	14892	14295	15177	14726	15428	13941	15063	15064	208	13926	188	15330	14418	13915	15144	15377	13911	14802	15133	15577	14658	14134	14260	13772	14293	15962	13794	13924	13932	15579	13993	201	13941	15949	14543	14701	15130	15165	7426	13900	15328	7428	13914	13906	13941	556	15171	15163	15117	14890	13953	15179	15250	13927	15096	15187	14983	15092	13920	15162	215	209	13941	15101	13793	14870	13770	14256	13760	13932	15183	15586	15040	15147	5842	14555	14625	0	15381	14579	14052	195	14046	13781	13976	188	14971	14533	197	15575	14303	14381	13944	14599	15162	196	14497	14484	13949	13974	13940	15147	14627	15168	15183	13967	15156	15034	183	14678	15142	13815	15173	14642	571	14498	15765	13942	15074	13903	14465	13940	210	14278	188	13982	13890	14046	13973	15155	14051	15321	13973	15177	15371	14930	207	14272	15323	13997	13923	8259	15164	14856	13995	14100	15136	14661	15136	15330	13928	13979	15122	15148	15204	15180	14948	14226	553	188	14753	15098	14044	14993	15197	562	14407	14033	191	15418	14953	194	15136	225	558	14991	15152	195	15182	14914	13964	15109	14263	203	14993	13989	7427	14843	15170	14016	14939	7407	14862	15299	15195	15170	15609	15070	14692	184	14332	14338	13970	15182	553	15128	13926	15535	10053	15010	185	15379	201	15313	15193	13763	13936	14201	15112	8284	13781	13936	195	15402	199	15603	14313	187	15347	13927	13786	15072	559	15382	192	15934	15093	14690	14699	15362	15034	13767	15353	15612	13843	14639	15923	13944	15617	189	14053	13924	15002	13926	15357	13778	14902	15582	14750	13766	15169	15575	15070	15177
PG248	15117	2866	14858	16275	15753	15762	2892	16176	14871	16302	16171	15230	15692	16257	14977	15575	14988	15025	15477	14564	15775	14754	15386	15831	15388	16342	15074	16174	3277	16172	15262	15693	14955	15513	15795	14995	15939	15511	63	16304	15399	15053	15260	15440	15496	15844	15158	16548	15358	15418	14831	16259	15007	15057	15136	16296	14425	14668	15296	16302	15272	15135	15268	16103	16162	15053	2893	14322	15346	15576	15009	14994	16282	14965	3239	16156	570	16305	15460	16293	15360	2574	15108	15028	15171	15054	14838	14992	14957	16150	15030	15034	15610	2905	2889	15353	14862	15253	15540	14771	14873	16136	33	14853	16538	16248	15493	15842	14316	14711	14974	15027	15354	14998	14863	14894	15497	15186	15250	15405	15329	14704	15156	16268	16165	15005	14879	15574	14981	14894	14859	15407	15468	16268	16277	3413	15192	15442	16317	15121	14888	15034	16294	15202	16077	15374	16340	15292	15296	14865	16095	14977	15251	14961	13510	14972	15404	16165	15512	16077	16295	15785	15500	14567	15381	0	14611	15371	15276	15226	14989	15424	15275	14229	15493	15276	15512	14674	15449	14877	15348	16964	15260	15070	15060	14867	15409	14890	16294	15346	16164	16189	14891	16293	15839	15276	15160	15041	15018	16164	15132	15511	15805	15411	14865	2908	14802	15122	14888	15260	13511	15227	15436	14833	15225	15402	16301	15357	15548	15429	16299	15590	14835	15257	13531	15563	15386	14894	14907	16292	15122	15435	15395	16293	14587	16299	15546	14852	15444	16293	15188	15363	16372	15294	14560	15490	15290	14997	16273	15218	15822	16322	15486	15164	15238	15275	49	15315	15303	16330	15297	15499	15795	16301	15264	3320	14893	15447	16280	14581	15269	15785	15458	14980	15586	16294	15174	14650	14974	15181	15515	3196	16306	15520	15311	15148	15259	15070	15116	15456	16297	15462	16099	15422	15488	15763	15819	15294	71	15268	14536	3206	15001	14910	14541	15707	14883	14987	14858	15268	15376	15279	15511	15087	15259	15577	15406	14971	2896	15495	15424	15350	16399	16085	14565	14483	15391	15943	14964	15591	15518	15497	14584	16379	15404	15991	15274	14403	14843	3509	15395	16230	14982	16807	15521	14630	14970	16300	15477	2897	16185
PG249	14610	14472	15421	15486	15286	15791	14489	14833	15410	15487	14814	14100	15797	15311	14558	15300	14578	14698	14605	8053	15870	14065	14925	16000	15870	15546	14563	14826	14536	15410	14474	15475	14856	15087	14057	14579	16034	7033	14621	15519	15053	14708	14503	15075	7009	14077	14604	15691	15834	14901	15398	15477	14593	14595	14828	15514	14478	14660	14168	15487	14502	11365	14519	14748	14816	14593	14515	14317	15303	15296	14572	14587	15497	14535	14570	14806	14390	15518	15461	15476	15864	14494	14771	14681	14967	14707	15403	14597	8289	14826	14886	14604	15143	14509	14534	14558	15420	14471	15293	14059	15422	14794	14593	15405	15721	15457	7003	15096	14594	14734	14557	14452	15835	14569	15396	15419	7010	14059	14494	15046	15807	12207	11370	15504	14822	14851	15427	15290	14824	15397	15414	15051	14596	15492	15491	14348	15027	15088	15516	14700	15425	12603	15506	14949	15239	15025	15548	14513	14541	15435	15581	14562	14325	14534	14441	14550	15078	14828	7014	15407	15515	15463	14892	12073	14579	14611	0	14693	14499	14117	14556	15072	14497	14333	14935	14514	7020	14559	14789	15442	14441	15805	14504	14336	14705	15429	15094	15422	15508	14475	14820	14836	15452	15498	15940	14482	11388	14620	14586	14822	14450	14641	15153	15873	15414	14509	15389	14688	15417	14497	14444	14452	15097	15401	14104	15076	15510	14694	15012	15073	15523	15328	6045	14479	14414	14989	15061	15413	14801	15497	14734	15095	14740	15512	14892	15502	15285	15427	15079	15520	12825	15163	15531	14503	14761	14620	14483	14979	15510	14103	15914	15527	14611	14624	14067	14470	14627	15542	14503	15541	14510	14658	15904	15500	14468	14536	14736	15089	15492	14790	14486	15905	15129	14838	15842	15515	14056	12224	14834	14649	14949	14463	15484	7028	8443	11383	14487	14514	14600	15114	15516	14601	15606	15070	6981	15147	15916	14506	14609	14496	12895	14467	14592	15421	14770	14627	14781	14544	15421	14499	15530	14520	7018	14561	14488	15296	15039	14536	14500	14617	15246	14542	15980	15225	11955	11331	14948	14556	14534	15310	7038	15390	14878	15977	15032	15474	14475	14432	15403	14210	15031	15968	14573	16106	7014	14369	14560	15525	7014	14506	14836
PG25	14028	15135	14472	14958	14803	15211	15087	14950	14445	14977	14928	2359	15237	14942	14178	14993	14165	14208	14081	14592	15217	14162	15192	15296	14587	15016	13981	14947	15323	14854	13940	15040	14563	14845	13734	14187	15370	15397	15412	14968	14449	14221	13959	14455	15410	13760	14060	15222	14577	15209	14427	14937	14178	14800	14824	14835	14129	14526	14217	14972	13967	14854	13981	14892	14937	14816	15088	14351	14278	14993	14178	14568	14956	14178	14984	14929	15145	14972	14520	14960	14613	15136	1051	14196	14369	14238	14415	15034	14598	14897	14649	14793	14878	15102	15110	14045	14436	13948	14983	14170	14443	14907	15359	14436	15321	14933	15410	15283	14285	14393	14160	13937	14567	14184	14424	14475	15393	2345	13943	14405	14524	14411	14865	14915	14938	13931	14435	14977	13922	14431	14433	14443	14063	14965	14963	15285	15175	14474	14971	14697	14451	14883	14973	15270	15075	14421	15014	13991	13993	14485	15356	14163	14296	14140	14335	14168	14426	14934	15397	15031	14946	14573	14350	14311	14052	15371	14693	0	13962	2354	14159	14484	13955	14969	14368	13968	15400	14243	991	14462	14342	15745	13941	14126	14204	14465	14461	14449	14963	14361	14921	14946	14493	14961	15303	13931	14865	14603	14190	14931	14169	14108	659	14651	14401	15098	14386	14214	14446	13964	14352	13930	14493	14455	2368	14430	14971	79	14950	14482	14975	15018	14739	13950	14363	14981	14486	14459	13786	14975	14917	14475	62	14945	14590	14943	15010	14472	14488	14932	15079	14824	15037	14717	14561	14085	13947	14706	14912	2356	15273	14996	14088	14071	2351	13954	15408	15394	13955	14978	13975	14101	15263	14939	13922	15087	14251	14482	14928	14565	13960	15254	14475	13923	15194	14944	2370	14699	13907	14496	14940	15020	14976	15422	15122	14866	13936	14085	14034	14498	14980	14072	15379	14457	15363	14914	15279	13958	15372	13957	15143	15046	14198	14434	14534	14681	13775	14180	14462	13963	15419	13994	15437	13986	13952	14990	14419	14180	15101	14078	14946	14020	15539	15098	14186	14600	15068	14496	14148	15018	15424	13803	14604	15552	14439	15119	13924	14467	14449	15088	14411	15604	14177	15416	15390	14902	14161	14959	15400	15088	14946
PG250	14347	14999	13903	15058	14264	14899	14967	15047	13902	15075	15043	13947	14794	14869	13781	15244	13783	14400	556	14181	14903	14366	15626	14878	15899	15091	14321	15054	15103	14946	89	15318	14464	15116	14550	13815	14853	15515	15320	15070	13930	14428	42	13922	15499	14608	14428	14612	15875	15695	13872	15034	13813	15317	14847	14391	14037	14882	14476	15078	102	14595	87	15042	15039	15324	14994	14232	13135	15239	13801	15073	15068	13771	14711	15040	15085	15085	15092	15063	15897	15043	14110	14414	15267	14413	13883	14894	14191	15050	14654	15333	13930	14974	14976	196	13906	41	15225	14352	13901	15023	15272	13902	14669	15038	15498	14575	14148	14254	13777	14309	15863	13799	13905	13917	15492	13907	101	13910	15846	14437	14601	15029	15042	7307	13885	15227	7309	13899	13890	13914	561	15080	15082	15023	14813	13921	15093	15175	13906	14987	15098	14987	15006	13897	15072	129	110	13919	15003	13802	14793	13784	14263	13769	13903	15053	15499	14951	15055	5760	14537	14516	195	15276	14499	13962	0	13959	13784	13953	19	14881	14454	29	15494	14306	14288	13924	14600	15036	93	14522	14421	13929	13946	13927	15061	14625	15038	15049	13949	15069	14966	39	14593	15071	13824	15048	14644	573	14414	15672	13928	14982	13891	14391	13919	116	14282	83	13947	13877	13956	13947	15071	13959	15307	13945	15090	15263	14852	109	14278	15314	13953	13917	8151	15076	14863	13961	14014	15048	14574	15047	15230	13915	13949	15030	15045	15183	15096	14889	14111	555	50	14634	15002	13955	14929	15108	567	14414	13946	94	15323	14844	22	15050	95	564	14926	15065	98	15087	14832	13934	15026	14144	102	14927	13957	7310	14805	15078	13919	14850	7298	14864	15285	15101	15084	15522	14980	14602	42	14334	14352	13941	15091	561	15024	13897	15452	10049	14946	40	15284	94	15236	15098	13779	13925	14088	15010	8167	13788	13914	41	15282	88	15520	14325	44	15245	13904	13783	14985	563	15285	180	15866	15006	14574	14576	15274	14958	13780	15245	15532	13829	14547	15860	13918	15549	40	14047	13907	14907	13900	15285	13786	14873	15491	14754	13770	15083	15491	14984	15053
PG251	13709	14980	14893	15174	14889	15252	14960	14562	14871	15195	14544	33	15293	15075	14203	15121	14206	14245	14054	13705	15275	13904	15261	15353	15090	15224	13650	14562	15126	15084	13932	15168	14428	14971	13695	14215	15425	15314	15263	15189	14701	14269	13948	14711	15327	13707	13737	15161	15085	15333	14849	15140	14217	14762	14887	14960	13974	14708	14195	15193	13967	13896	13967	14495	14540	14777	14964	14192	14128	15118	14202	14324	15175	14200	14876	14548	14947	15192	14609	15181	15123	15025	2022	14235	14420	14281	14845	14892	13878	14510	14616	14744	14943	14973	14969	14041	14864	13942	15103	13903	14866	14528	15211	14862	15279	15153	15324	15415	14130	14445	14189	13651	15082	14231	14853	14901	15310	22	13943	14647	15041	13821	13903	15137	14549	13963	14860	15108	13934	14858	14862	14693	14053	15188	15182	15225	14814	14719	15198	14398	14873	14081	15194	15053	15196	14681	15223	14001	13983	14912	15156	14196	13966	14181	14194	14203	14676	14546	15316	15251	15173	14590	14500	13498	14046	15226	14117	2354	13959	0	14186	14739	13952	15000	14535	13962	15324	14333	1988	14887	14572	15651	13933	14306	14245	14891	14718	14866	15183	14587	14532	14560	14904	15178	15361	13936	13905	14314	14214	14547	14398	14091	2903	15111	14833	14973	14811	14257	14869	13960	14214	13925	14742	14875	60	14684	15193	2389	14991	14731	15203	15130	14441	13947	14219	15025	14730	14883	13889	15197	14721	14726	2367	15172	14996	15169	15114	14896	14735	15154	14501	14945	15184	14437	14382	14047	13941	14571	15143	65	15327	15220	14063	13740	52	13947	15266	15375	13959	15189	13978	14084	15320	15157	13913	15073	13917	14738	15151	14385	13954	15312	14730	13937	15341	15171	43	14504	13926	14612	14980	15003	15194	15338	14709	13887	13936	14026	13706	14757	15198	14054	15182	14711	15280	14972	15331	13965	15230	13938	14928	15028	14238	14863	14352	14835	13892	14209	14882	13976	15689	13979	15343	13650	13959	15115	14666	14207	14984	14054	15050	14018	15114	15205	13406	13677	15030	14635	14184	15130	15348	13832	15016	15114	14689	14734	13922	14404	14867	14998	14659	15665	14201	15345	15310	14708	14187	15181	15330	14967	14560
PG252	13841	14757	14765	15302	14472	14249	14674	15229	14781	15310	15216	14230	14037	14966	76	14893	134	13768	13742	14681	14024	13861	14892	14319	14915	15369	13834	15231	14839	15228	13774	14354	14221	14520	13745	79	14669	15072	14990	15318	14244	13792	13779	14270	15063	13792	13917	14903	14893	14915	14730	15294	78	14948	14490	15265	13476	14338	14111	15333	13778	14214	13787	15203	15216	14935	14691	13685	14092	14868	73	14133	15301	83	14648	15214	14720	15327	15103	15312	14913	14801	14152	13803	14565	13799	14715	14447	14950	15212	14327	14925	13538	14675	14703	13772	14731	13774	14859	13883	14744	15223	14970	14758	14975	15294	15061	13582	13371	13749	29	13824	14882	53	14734	14784	15051	14152	13778	14217	14841	14461	14226	15274	15211	13561	14745	14874	13527	14773	14774	14220	13744	15313	15300	14595	14674	14245	15329	14171	14784	14843	15328	14566	14980	14196	15372	13799	13805	14782	14923	64	13911	106	13845	67	14225	15215	15065	15312	15338	14659	13951	14583	13781	14989	14556	14159	13784	14186	0	14276	13789	14371	13875	13781	15074	13904	14260	14772	14458	15249	13754	13510	13791	14766	14256	14777	15326	14470	15201	15252	14791	15329	14098	13782	14244	14152	87	15216	14375	13766	14606	15158	14767	14693	14706	13797	14774	13784	13853	13747	14265	14738	14223	14210	15324	14151	14430	14248	15338	14907	14412	13781	13871	14463	14250	14784	13621	15333	14148	14269	14177	15314	14326	15318	14859	14765	14270	15322	15065	14436	15435	14355	14024	13785	13791	14229	15291	14175	14087	15345	13750	13897	14192	13768	15003	15394	13804	15346	13820	13780	14039	15293	13775	14523	13963	14249	15298	14060	13770	14056	14275	13562	14888	15297	14170	13742	13557	14502	14425	14503	15332	15084	14080	14240	13785	13893	13841	14283	15338	13734	14956	14238	15037	14241	14078	13777	14987	13788	13916	14503	65	14784	14054	14442	13597	72	14749	13787	14770	13810	15077	13816	13776	14878	14221	91	14678	13751	14187	13754	15343	14973	14306	14188	15164	14463	84	14877	15078	13891	14342	15359	14222	14656	13776	13740	14749	14638	14190	14448	32	15204	15084	14195	35	15326	15038	14675	15242
PG253	14607	15177	15772	14475	4973	15437	15158	16180	15733	14499	16166	14745	15351	15870	14253	15744	14327	15219	13972	14792	15429	14553	15625	15546	16211	14446	14573	16188	15255	14359	13938	14664	15624	15333	14436	14299	15601	16150	15414	14464	67	15256	13934	98	16155	14497	14701	15247	16191	15525	15735	14402	14298	15565	15388	14490	14594	15264	14956	14486	13942	15561	13955	16057	16162	15569	15163	14788	15021	15741	14293	14893	14489	14274	15234	16159	15206	14479	15545	14475	16224	15198	14696	15147	14964	15228	15731	15403	15198	16130	15625	15557	13191	15178	15189	13972	15775	13931	15716	14549	15774	16160	15430	15749	15306	14451	16129	14533	14788	15012	14260	14605	16207	14296	15722	15765	16145	14705	13939	73	16198	15452	15562	14448	16163	14228	15741	15750	14210	15737	15745	76	13968	14483	14489	15223	15209	73	14498	15104	15750	15739	14490	15743	15899	95	14446	13975	13960	15752	15450	14242	14670	14275	14874	14245	81	16143	16139	14362	14473	14660	14913	15531	13976	15424	15072	14484	13953	14739	14276	0	13944	15358	14871	13935	16158	15026	14778	15783	14838	15699	13923	14501	15228	15775	109	15751	14488	14861	16150	16192	15768	14473	15461	13934	15550	15017	14282	16169	14786	13993	15009	16183	15752	15157	15724	15198	15747	13944	14898	13890	64	15767	14737	71	14474	14488	14642	78	14502	15748	15524	13942	14907	14624	81	15768	14245	14453	15482	114	14507	14483	15166	14465	15726	15761	87	14453	16159	14444	14482	14970	15335	13965	13939	15685	14453	14717	15449	14515	13962	14639	14708	13934	15449	16034	13929	14414	13943	14004	15455	14428	13919	15172	14765	80	14455	15387	13933	15449	77	14201	15409	14493	14683	15028	14199	15024	14620	15154	14477	16165	15606	15575	13935	14993	14589	114	14472	13956	15478	89	16134	15274	15478	13967	15433	13947	15420	15162	14282	15741	15335	15239	14221	14254	15753	13950	15492	13966	16165	14572	13941	15740	78	14265	15180	13946	14490	13932	15773	15914	15261	15363	15708	15910	14256	15746	16160	14386	15156	15713	83	15441	13924	14798	15735	15151	98	15743	14255	14699	16147	14914	14264	14492	16128	15170	16186
PG254	14334	14982	13897	15046	14257	14877	14951	15019	13902	15065	15015	13945	14768	14841	13769	15238	13784	14392	552	14185	14883	14361	15624	14858	15888	15082	14308	15029	15096	14930	86	15304	14459	15125	14536	13813	14832	15514	15306	15060	13924	14419	43	13914	15495	14592	14414	14616	15859	15683	13867	15019	13812	15318	14830	14388	14008	14877	14474	15063	106	14588	82	15012	15013	15323	14978	14217	13131	15228	13798	15056	15057	13773	14707	15010	15081	15068	15090	15054	15881	15025	14105	14405	15258	14407	13880	14876	14202	15021	14650	15336	13902	14957	14955	194	13906	43	15214	14350	13898	14996	15262	13903	14675	15033	15495	14561	14128	14233	13777	14295	15847	13799	13905	13916	15487	13898	97	13902	15833	14450	14591	15024	15014	7306	13874	15219	7323	13895	13888	13908	559	15070	15065	15015	14794	13913	15077	15151	13902	14997	15090	14969	14978	13887	15057	130	112	13916	14975	13804	14789	13780	14246	13768	13895	15028	15498	14942	15046	5755	14523	14533	188	15275	14497	13955	19	13952	13789	13944	0	14887	14440	10	15490	14283	14283	13921	14600	15046	89	14490	14420	13925	13939	13917	15045	14624	15012	15028	13939	15058	14946	42	14584	15055	13822	15019	14646	572	14409	15659	13922	14967	13886	14386	13914	114	14264	87	13944	13874	13951	13938	15060	13952	15292	13938	15079	15254	14844	112	14266	15303	13946	13913	8160	15064	14849	13954	14005	15034	14568	15035	15220	13911	13940	15018	15053	15186	15077	14884	14107	556	47	14630	14997	13953	14913	15097	565	14398	13940	90	15307	14848	7	15036	96	560	14905	15051	93	15070	14820	13927	15010	14143	97	14908	13946	7324	14814	15065	13918	14864	7308	14861	15273	15080	15069	15524	14975	14593	41	14322	14342	13933	15083	555	14999	13893	15452	10061	14926	35	15279	95	15222	15089	13773	13918	14080	15021	8176	13784	13908	37	15293	83	15516	14312	41	15234	13890	13780	14960	560	15273	175	15854	14980	14586	14588	15274	14964	13772	15240	15522	13818	14543	15851	13906	15539	40	14036	13900	14891	13887	15251	13786	14875	15493	14742	13776	15073	15491	14963	15024
PG255	14859	14729	15566	16061	15654	14968	14841	16204	15573	16062	16201	15020	14937	15729	14368	15677	14399	14693	14969	14550	14908	14093	15295	14957	16050	16053	14831	16212	14873	15868	14866	15395	15223	13998	14609	14384	15030	14812	14258	16079	15344	14717	14876	15365	14816	14633	14942	16211	16007	15318	15531	15994	14393	15451	15026	16077	14569	9443	14820	16079	14899	14634	14888	16123	16196	15442	14834	14520	15359	15672	14395	14696	16049	14349	14815	16198	13981	16066	15671	16068	16049	14843	14832	14690	15230	14704	15538	15201	14572	16172	15453	15449	15315	14831	14853	14948	15579	14877	15663	14117	15572	16191	14232	15569	16255	16053	14812	15408	14681	14613	14366	14806	16003	14402	15545	15567	14773	14953	14872	15335	16001	11602	14611	16026	16196	14829	15574	15662	14791	15568	15599	15331	14968	16071	16040	14693	15274	15370	16080	14869	15597	12010	16071	15228	15748	15302	16067	14892	14928	15567	15988	14365	15054	14359	14631	14358	15350	16207	14817	15949	16096	15614	15387	11499	14971	14229	14333	14969	14881	15000	14371	15358	14887	0	15361	14890	14813	14637	14985	15594	15087	16728	14861	14880	14686	15570	15351	15601	16068	15106	16192	16209	15603	16075	14948	14877	14648	14772	14383	16212	15090	15000	15406	15799	15589	14847	15535	14730	15562	14874	14652	14860	15377	15571	15012	15327	16098	14964	14955	15356	16086	15698	14121	14861	14613	14917	15336	15588	14448	16079	15330	15359	14993	16066	14776	16075	15656	15575	15388	16064	12142	15036	16021	14615	14747	14997	14882	15323	16041	14986	14945	16106	14981	14891	15004	14887	14252	15543	14913	16070	14907	15000	14901	16054	14886	14680	15126	15383	16040	14776	14855	14929	15380	14814	16167	16059	14960	14133	14821	14996	14911	14736	16056	14825	14382	14631	14882	14962	14838	15382	16066	14975	16000	15347	14792	15778	14928	14892	14229	14898	14419	14735	14387	15601	14754	14147	14408	14376	15566	14880	15669	14903	14825	14822	14886	15674	15338	14371	14841	14982	15180	14951	16110	15704	11234	11591	15810	14911	14355	15677	14828	15045	14765	16121	15332	15750	14869	14827	15543	14863	15332	15616	14380	16568	14854	14680	14369	16092	14776	14841	16213
